Order_ID,Order_Date,Customer_Name,Category,Product,City,State,Quantity,Sales,Discount,Profit,Payment_Mode
ORD00044,12-09-2025,Simran Singh,Grocery,Rice,Meerut,Uttar Pradesh,6,8640,0.08,622.08,UPI
ORD00045,17-04-2026,Mohit Gupta,Grocery,Rice,Ahmedabad,Gujarat,4,3964,0.02,368.65,Card
ORD00046,13-10-2025,Priya Gupta,Furniture,Office Chair,Bengaluru,Karnataka,2,27712,0.05,4503.2,Cash
ORD00047,18-08-2026,Simran Sharma,Grocery,Biscuits,Delhi,Delhi,1,1149,0.02,106.86,UPI
ORD00048,08-06-2026,Rohit Mehta,Grocery,Biscuits,Chandigarh,Chandigarh,3,5601,0.1,364.06,Wallet
ORD00049,17-06-2026,Varun Verma,Furniture,Bookshelf,Delhi,Delhi,6,90528,0,16295.04,Cash
ORD00050,08-05-2025,Vivek Jain,Grocery,Cooking Oil,Bengaluru,Karnataka,3,4095,0.15,194.51,Cash
ORD00051,11-05-2025,Pooja Mehta,Grocery,Biscuits,Jaipur,Rajasthan,6,7746,0.1,503.49,Net Banking
ORD00052,01-01-2025,Vivek Gupta,Furniture,Desk Lamp,Pune,Maharashtra,3,42318,0.1,6136.11,Card
ORD00053,07-08-2025,Komal Kaur,Grocery,Biscuits,Kota,Rajasthan,4,7564,0.15,359.29,Card
ORD00054,10-12-2025,Priya Verma,Electronics,Headphones,Mumbai,Maharashtra,6,252480,0.1,23985.6,Cash
ORD00055,02-05-2026,Tanya Kumar,Furniture,Table,Meerut,Uttar Pradesh,1,2314,0.02,400.32,Net Banking
ORD00056,14-02-2026,Karan Singh,Grocery,Sugar,Chandigarh,Chandigarh,6,9912,0.08,713.66,UPI
ORD00057,15-06-2026,Sneha Sharma,Electronics,Tablet,Ghaziabad,Uttar Pradesh,2,106596,0.15,8261.19,Wallet
ORD00058,28-06-2026,Varun Patel,Furniture,Office Chair,Kota,Rajasthan,2,32050,0.15,4086.38,Cash
ORD00059,02-05-2026,Sneha Gupta,Grocery,Spices,Ahmedabad,Gujarat,5,9530,0.02,886.29,Card
ORD00060,02-09-2025,Simran Kaur,Clothing,Hoodie,Kolkata,West Bengal,5,21345,0.15,3575.29,UPI
ORD00061,24-03-2025,Neha Singh,Clothing,Jeans,Lucknow,Uttar Pradesh,3,8757,0.1,1620.05,Card
ORD00062,22-02-2026,Anjali Jain,Grocery,Atta,Chandigarh,Chandigarh,2,686,0.08,49.39,Net Banking
ORD00063,21-01-2025,Shivam Mehta,Grocery,Rice,Ghaziabad,Uttar Pradesh,4,6700,0.1,435.5,Net Banking
ORD00064,06-07-2026,Varun Patel,Electronics,Smartphone,Lucknow,Uttar Pradesh,4,226124,0.08,23064.65,Card
ORD00065,03-02-2026,Anjali Mehta,Grocery,Sugar,Lucknow,Uttar Pradesh,4,8276,0,827.6,Card
ORD00066,30-08-2026,Shivam Sharma,Grocery,Atta,Pune,Maharashtra,5,950,0.08,68.4,UPI
ORD00067,24-09-2025,Riya Yadav,Grocery,Atta,Ahmedabad,Gujarat,4,3296,0,329.6,Card
ORD00068,16-09-2025,Priya Kaur,Grocery,Biscuits,Agra,Uttar Pradesh,4,4876,0.08,351.07,UPI
ORD00069,11-02-2025,Rahul Verma,Electronics,Smartphone,Ghaziabad,Uttar Pradesh,6,30576,0.15,2369.64,Card
ORD00070,28-04-2025,Shivam Verma,Electronics,Keyboard,Ghaziabad,Uttar Pradesh,2,63270,0.15,4903.43,Net Banking
ORD00071,15-11-2025,Rohit Patel,Clothing,Hoodie,Agra,Uttar Pradesh,2,2476,0.02,527.39,UPI
ORD00072,23-07-2025,Priya Patel,Clothing,Kurta,Bengaluru,Karnataka,4,14196,0.15,2377.83,Card
ORD00073,03-08-2026,Amit Yadav,Electronics,Headphones,Ahmedabad,Gujarat,6,239688,0,31159.44,Wallet
ORD00074,07-03-2026,Aditya Kumar,Grocery,Biscuits,Noida,Uttar Pradesh,5,7385,0,738.5,Net Banking
ORD00075,30-06-2025,Komal Gupta,Clothing,Dress,Ahmedabad,Gujarat,4,6212,0.08,1192.7,Wallet
ORD00076,09-09-2025,Priya Gupta,Grocery,Pulses,Jaipur,Rajasthan,6,7074,0.05,583.61,Net Banking
ORD00077,11-12-2025,Rahul Kaur,Furniture,Sofa,Pune,Maharashtra,5,113475,0.08,17248.2,Cash
ORD00078,14-10-2025,Tanya Gupta,Furniture,Sofa,Ghaziabad,Uttar Pradesh,3,27795,0.05,4516.69,Wallet
ORD00079,16-05-2026,Varun Verma,Electronics,Mouse,Noida,Uttar Pradesh,2,95580,0.08,9749.16,Net Banking
ORD00080,15-08-2025,Riya Verma,Grocery,Pulses,Kolkata,West Bengal,1,461,0.05,38.03,Cash
ORD00081,18-07-2026,Anjali Yadav,Clothing,Shoes,Mumbai,Maharashtra,5,15580,0.08,2991.36,Net Banking
ORD00082,17-07-2025,Anjali Kumar,Clothing,Jacket,Lucknow,Uttar Pradesh,2,2576,0.15,431.48,Wallet
ORD00083,27-08-2026,Komal Patel,Furniture,Table,Ghaziabad,Uttar Pradesh,6,99996,0.05,16249.35,Cash
ORD00084,06-11-2025,Rahul Jain,Electronics,Mouse,Lucknow,Uttar Pradesh,2,48500,0.02,5965.5,Card
ORD00085,10-05-2025,Aditya Kumar,Clothing,T-Shirt,Delhi,Delhi,5,13465,0.15,2255.39,UPI
ORD00086,22-02-2025,Simran Kaur,Clothing,Shoes,Kota,Rajasthan,4,12364,0.02,2633.53,UPI
ORD00087,24-02-2025,Neha Singh,Electronics,Tablet,Kota,Rajasthan,1,38415,0.15,2977.16,Wallet
ORD00088,20-08-2025,Komal Mehta,Clothing,T-Shirt,Ghaziabad,Uttar Pradesh,1,4871,0.08,935.23,Net Banking
ORD00089,06-08-2026,Tanya Sharma,Grocery,Tea,Ahmedabad,Gujarat,5,9180,0.05,757.35,Wallet
ORD00090,25-03-2025,Arjun Verma,Electronics,Mouse,Bengaluru,Karnataka,2,35886,0.15,2781.17,Card
ORD00091,27-04-2026,Vivek Sharma,Electronics,Keyboard,Delhi,Delhi,4,120496,0.15,9338.44,Card
ORD00092,28-08-2025,Simran Patel,Clothing,Dress,Lucknow,Uttar Pradesh,6,24114,0,5305.08,Card
ORD00093,26-05-2025,Priya Sharma,Grocery,Cooking Oil,Mumbai,Maharashtra,2,1380,0.05,113.85,Card
ORD00094,08-05-2025,Sneha Gupta,Clothing,Kurta,Chandigarh,Chandigarh,5,13320,0.08,2557.44,Net Banking
ORD00095,10-02-2025,Nikhil Yadav,Clothing,Kurta,Mumbai,Maharashtra,4,15544,0,3419.68,Wallet
ORD00096,03-10-2025,Shivam Sharma,Clothing,T-Shirt,Noida,Uttar Pradesh,2,938,0.15,157.12,Card
ORD00097,19-05-2026,Priya Kaur,Grocery,Pulses,Lucknow,Uttar Pradesh,2,4954,0.08,356.69,Cash
ORD00098,04-12-2025,Nikhil Kaur,Grocery,Biscuits,Agra,Uttar Pradesh,6,3048,0.02,283.46,Cash
ORD00099,28-11-2025,Rohit Mehta,Grocery,Rice,Kota,Rajasthan,1,1368,0.05,112.86,Wallet
ORD00100,06-01-2026,Tanya Kaur,Electronics,Printer,Jaipur,Rajasthan,1,12893,0.1,1224.84,Net Banking
ORD00101,25-03-2026,Aditya Kumar,Electronics,Mouse,Lucknow,Uttar Pradesh,5,45930,0.05,5167.12,UPI
ORD00102,20-07-2026,Nikhil Kumar,Furniture,Filing Cabinet,Meerut,Uttar Pradesh,3,56547,0,10178.46,Card
ORD00103,26-05-2026,Vivek Jain,Electronics,Printer,Noida,Uttar Pradesh,6,330810,0.02,40689.63,Cash
ORD00104,29-05-2025,Riya Verma,Grocery,Pulses,Kota,Rajasthan,2,3900,0.1,253.5,Wallet
ORD00105,01-10-2025,Rahul Gupta,Furniture,Office Chair,Lucknow,Uttar Pradesh,4,47748,0.1,6923.46,Cash
ORD00106,07-12-2025,Varun Jain,Grocery,Atta,Kota,Rajasthan,5,10315,0.05,850.99,Net Banking
ORD00107,28-01-2026,Karan Mehta,Grocery,Biscuits,Ahmedabad,Gujarat,2,2116,0.1,137.54,UPI
ORD00108,05-06-2025,Aditya Sharma,Clothing,Dress,Kota,Rajasthan,6,20538,0.08,3943.3,Card
ORD00109,13-04-2026,Rahul Singh,Clothing,Hoodie,Noida,Uttar Pradesh,4,4464,0.1,825.84,Net Banking
ORD00110,12-02-2026,Priya Yadav,Furniture,Office Chair,Kota,Rajasthan,3,35679,0.1,5173.45,Wallet
ORD00111,06-02-2025,Tanya Kumar,Grocery,Biscuits,Bengaluru,Karnataka,6,12468,0.1,810.42,Card
ORD00112,13-04-2025,Sneha Singh,Clothing,Jeans,Chandigarh,Chandigarh,1,3855,0,848.1,Cash
ORD00113,19-01-2026,Nikhil Singh,Electronics,Laptop,Agra,Uttar Pradesh,1,19826,0.05,2230.43,Card
ORD00114,27-01-2026,Tanya Verma,Grocery,Atta,Meerut,Uttar Pradesh,2,806,0.1,52.39,Net Banking
ORD00115,19-09-2025,Rahul Kaur,Furniture,Table,Kota,Rajasthan,6,54732,0.08,8319.26,Cash
ORD00116,11-03-2026,Simran Kaur,Furniture,Office Chair,Kota,Rajasthan,3,60159,0.05,9775.84,Cash
ORD00117,26-01-2026,Shivam Yadav,Furniture,Sofa,Ahmedabad,Gujarat,4,17176,0.02,2971.45,Wallet
ORD00118,09-01-2025,Shivam Sharma,Clothing,Dress,Lucknow,Uttar Pradesh,1,3542,0.05,717.25,Wallet
ORD00119,14-07-2025,Tanya Gupta,Grocery,Tea,Kolkata,West Bengal,2,3046,0.02,283.28,Card
ORD00120,09-01-2026,Neha Kumar,Electronics,Laptop,Lucknow,Uttar Pradesh,4,11144,0.1,1058.68,Cash
ORD00121,07-07-2026,Mohit Jain,Clothing,Dress,Jaipur,Rajasthan,2,3888,0.02,828.14,Wallet
ORD00122,13-12-2025,Rohit Kaur,Clothing,Hoodie,Meerut,Uttar Pradesh,3,12741,0.05,2580.05,UPI
ORD00123,11-02-2026,Varun Yadav,Furniture,Table,Ahmedabad,Gujarat,6,147186,0.15,18766.22,UPI
ORD00124,13-01-2026,Simran Patel,Grocery,Rice,Lucknow,Uttar Pradesh,5,2930,0.08,210.96,Net Banking
ORD00125,29-07-2026,Anjali Patel,Clothing,T-Shirt,Bengaluru,Karnataka,2,8324,0,1831.28,Card
ORD00126,30-04-2025,Neha Sharma,Electronics,Printer,Chandigarh,Chandigarh,3,129444,0.08,13203.29,UPI
ORD00127,19-05-2025,Riya Kaur,Clothing,Shoes,Noida,Uttar Pradesh,1,2223,0.1,411.25,Cash
ORD00128,22-02-2026,Simran Sharma,Grocery,Atta,Jaipur,Rajasthan,6,2910,0.08,209.52,Cash
ORD00129,12-01-2026,Varun Yadav,Furniture,Sofa,Kota,Rajasthan,2,25368,0,4566.24,UPI
ORD00130,06-08-2025,Tanya Sharma,Grocery,Tea,Ghaziabad,Uttar Pradesh,1,1942,0,194.2,UPI
ORD00131,22-07-2026,Pooja Patel,Clothing,Jeans,Meerut,Uttar Pradesh,5,9905,0,2179.1,Card
ORD00132,11-10-2025,Neha Singh,Furniture,Bookshelf,Kolkata,West Bengal,2,40658,0,7318.44,Wallet
ORD00133,16-01-2025,Mohit Verma,Clothing,Hoodie,Meerut,Uttar Pradesh,1,511,0.02,108.84,Wallet
ORD00134,08-03-2026,Komal Kumar,Clothing,T-Shirt,Meerut,Uttar Pradesh,3,2187,0.02,465.83,UPI
ORD00135,22-04-2025,Sneha Jain,Grocery,Pulses,Kolkata,West Bengal,3,6546,0.1,425.49,Card
ORD00136,06-05-2026,Riya Mehta,Electronics,Headphones,Kota,Rajasthan,6,15846,0,2059.98,UPI
ORD00137,01-06-2025,Priya Singh,Grocery,Pulses,Noida,Uttar Pradesh,1,1399,0.1,90.94,Cash
ORD00138,02-06-2026,Tanya Mehta,Clothing,Shoes,Pune,Maharashtra,5,13575,0.08,2606.4,UPI
ORD00139,28-02-2026,Anjali Kaur,Electronics,Mouse,Jaipur,Rajasthan,4,235204,0.02,28930.09,Net Banking
ORD00140,19-09-2025,Mohit Singh,Grocery,Cooking Oil,Agra,Uttar Pradesh,4,5440,0.15,258.4,Net Banking
ORD00141,09-04-2025,Mohit Singh,Electronics,Monitor,Ahmedabad,Gujarat,1,6709,0.08,684.32,Wallet
ORD00142,10-03-2026,Amit Gupta,Electronics,Smartphone,Bengaluru,Karnataka,1,27522,0.05,3096.22,Wallet
ORD00143,08-06-2025,Aditya Verma,Clothing,Jacket,Noida,Uttar Pradesh,5,22280,0.02,4745.64,UPI
ORD00144,11-08-2026,Karan Mehta,Clothing,Hoodie,Mumbai,Maharashtra,3,3723,0.05,753.91,Wallet
ORD00145,13-11-2025,Anjali Yadav,Electronics,Headphones,Delhi,Delhi,2,37018,0.15,2868.9,UPI
ORD00146,26-05-2025,Rahul Kumar,Furniture,Table,Pune,Maharashtra,6,83592,0,15046.56,Wallet
ORD00147,14-01-2026,Vivek Yadav,Furniture,Sofa,Jaipur,Rajasthan,4,47880,0.02,8283.24,Wallet
ORD00148,20-02-2025,Priya Gupta,Electronics,Laptop,Meerut,Uttar Pradesh,2,100084,0.1,9507.98,Net Banking
ORD00149,09-08-2025,Komal Kumar,Grocery,Pulses,Pune,Maharashtra,4,7104,0.05,586.08,Cash
ORD00150,12-11-2025,Amit Verma,Grocery,Cooking Oil,Lucknow,Uttar Pradesh,6,12438,0.1,808.47,Net Banking
ORD00151,19-09-2025,Vivek Yadav,Electronics,Laptop,Ghaziabad,Uttar Pradesh,3,43329,0.02,5329.47,UPI
ORD00152,25-01-2026,Varun Verma,Electronics,Printer,Chandigarh,Chandigarh,4,48456,0.02,5960.09,Wallet
ORD00153,20-01-2025,Sneha Kumar,Clothing,T-Shirt,Jaipur,Rajasthan,6,3876,0.08,744.19,Cash
ORD00154,28-04-2025,Riya Sharma,Grocery,Spices,Chandigarh,Chandigarh,6,10740,0.05,886.05,Cash
ORD00155,24-03-2026,Rohit Verma,Furniture,Desk Lamp,Kota,Rajasthan,6,75942,0,13669.56,Net Banking
ORD00156,08-12-2025,Arjun Kumar,Grocery,Cooking Oil,Jaipur,Rajasthan,3,4410,0.02,410.13,Wallet
ORD00157,01-06-2025,Karan Kumar,Electronics,Mouse,Kolkata,West Bengal,3,70827,0.15,5489.09,Card
ORD00158,19-03-2025,Arjun Kaur,Clothing,Jeans,Meerut,Uttar Pradesh,5,7760,0.15,1299.8,Net Banking
ORD00159,27-03-2026,Priya Kaur,Grocery,Biscuits,Ahmedabad,Gujarat,6,8244,0.02,766.69,Net Banking
ORD00160,04-06-2026,Priya Gupta,Clothing,Hoodie,Lucknow,Uttar Pradesh,5,3800,0.05,769.5,Net Banking
ORD00161,03-04-2025,Tanya Patel,Grocery,Rice,Delhi,Delhi,3,3765,0,376.5,Wallet
ORD00162,09-08-2026,Pooja Yadav,Grocery,Pulses,Pune,Maharashtra,5,1240,0.08,89.28,Wallet
ORD00163,28-03-2025,Komal Singh,Grocery,Atta,Delhi,Delhi,4,2012,0.05,165.99,UPI
ORD00164,12-06-2025,Mohit Yadav,Furniture,Filing Cabinet,Kota,Rajasthan,4,71888,0.1,10423.76,Cash
ORD00165,09-12-2025,Priya Yadav,Grocery,Spices,Kolkata,West Bengal,3,882,0.15,41.9,UPI
ORD00166,25-03-2025,Shivam Singh,Grocery,Tea,Lucknow,Uttar Pradesh,6,4170,0.05,344.03,Cash
ORD00167,28-03-2025,Vivek Jain,Clothing,Dress,Chandigarh,Chandigarh,6,21060,0.02,4485.78,Net Banking
ORD00168,10-03-2026,Komal Yadav,Clothing,Hoodie,Meerut,Uttar Pradesh,6,27672,0,6087.84,UPI
ORD00169,16-07-2025,Karan Singh,Clothing,Jacket,Meerut,Uttar Pradesh,2,6198,0.08,1190.02,Card
ORD00170,24-06-2026,Amit Yadav,Electronics,Headphones,Ahmedabad,Gujarat,1,33871,0.1,3217.74,Wallet
ORD00171,19-06-2025,Sneha Sharma,Furniture,Desk Lamp,Jaipur,Rajasthan,2,12232,0.02,2116.14,Net Banking
ORD00172,19-10-2025,Sneha Verma,Clothing,Dress,Chandigarh,Chandigarh,2,7876,0.1,1457.06,Wallet
ORD00173,08-08-2026,Sneha Kaur,Furniture,Bookshelf,Kolkata,West Bengal,4,28628,0.05,4652.05,Cash
ORD00174,23-02-2025,Aditya Yadav,Grocery,Spices,Meerut,Uttar Pradesh,2,1292,0.05,106.59,Wallet
ORD00175,07-10-2025,Sneha Jain,Electronics,Monitor,Lucknow,Uttar Pradesh,1,50611,0.02,6225.15,Card
ORD00176,01-03-2026,Amit Mehta,Grocery,Cooking Oil,Ghaziabad,Uttar Pradesh,4,6044,0,604.4,Wallet
ORD00177,29-01-2025,Anjali Kumar,Clothing,Jeans,Jaipur,Rajasthan,1,3371,0.02,718.02,Cash
ORD00178,23-05-2025,Aditya Kaur,Furniture,Table,Delhi,Delhi,3,48843,0.15,6227.48,Wallet
ORD00179,16-07-2026,Tanya Jain,Electronics,Monitor,Delhi,Delhi,3,44199,0.02,5436.48,Net Banking
ORD00180,02-09-2025,Nikhil Patel,Electronics,Headphones,Ghaziabad,Uttar Pradesh,3,25755,0,3348.15,Net Banking
ORD00181,17-01-2025,Komal Patel,Electronics,Monitor,Ahmedabad,Gujarat,4,158828,0.1,15088.66,Card
ORD00182,04-09-2025,Shivam Mehta,Furniture,Bookshelf,Jaipur,Rajasthan,1,20946,0.05,3403.72,Card
ORD00183,04-06-2026,Varun Sharma,Electronics,Smartphone,Noida,Uttar Pradesh,5,181280,0.1,17221.6,Net Banking
ORD00184,17-01-2025,Mohit Kumar,Grocery,Rice,Bengaluru,Karnataka,4,6436,0.05,530.97,Cash
ORD00185,07-12-2025,Neha Sharma,Furniture,Filing Cabinet,Bengaluru,Karnataka,6,25176,0.1,3650.52,Cash
ORD00186,06-05-2026,Arjun Singh,Clothing,Hoodie,Bengaluru,Karnataka,2,8212,0.15,1375.51,UPI
ORD00187,12-02-2025,Anjali Gupta,Grocery,Rice,Lucknow,Uttar Pradesh,2,518,0.02,48.17,Wallet
ORD00188,01-01-2026,Amit Yadav,Grocery,Pulses,Lucknow,Uttar Pradesh,1,862,0.05,71.12,Cash
ORD00189,31-01-2026,Anjali Singh,Electronics,Smartphone,Jaipur,Rajasthan,4,197252,0.08,20119.7,Net Banking
ORD00190,11-03-2026,Priya Mehta,Grocery,Biscuits,Kolkata,West Bengal,5,5860,0,586,Wallet
ORD00191,02-12-2025,Vivek Gupta,Furniture,Desk Lamp,Lucknow,Uttar Pradesh,3,12483,0,2246.94,Net Banking
ORD00192,13-02-2025,Mohit Patel,Grocery,Atta,Chandigarh,Chandigarh,4,6076,0.08,437.47,Net Banking
ORD00193,20-02-2026,Mohit Jain,Clothing,Dress,Kolkata,West Bengal,1,914,0.15,153.09,Card
ORD00194,05-02-2025,Neha Kumar,Electronics,Keyboard,Ahmedabad,Gujarat,5,225195,0.08,22969.89,Card
ORD00195,07-06-2025,Sneha Yadav,Clothing,Jacket,Jaipur,Rajasthan,5,2825,0.1,522.62,Cash
ORD00196,12-02-2026,Anjali Gupta,Grocery,Cooking Oil,Pune,Maharashtra,2,4496,0.05,370.92,Card
ORD00197,01-02-2026,Varun Kumar,Electronics,Laptop,Chandigarh,Chandigarh,2,66610,0.1,6327.95,Cash
ORD00198,18-05-2026,Pooja Kumar,Clothing,Dress,Kota,Rajasthan,2,5278,0.15,884.07,Card
ORD00199,24-11-2025,Mohit Kumar,Electronics,Printer,Meerut,Uttar Pradesh,6,178620,0,23220.6,Wallet
ORD00200,05-06-2026,Karan Kumar,Clothing,Jacket,Ahmedabad,Gujarat,2,3452,0.05,699.03,Card
ORD00201,22-07-2026,Shivam Yadav,Furniture,Table,Kolkata,West Bengal,4,6644,0.05,1079.65,Net Banking
ORD00202,06-05-2026,Komal Mehta,Furniture,Desk Lamp,Noida,Uttar Pradesh,1,10934,0.08,1661.97,Net Banking
ORD00203,23-04-2026,Komal Yadav,Electronics,Keyboard,Agra,Uttar Pradesh,6,32760,0.08,3341.52,Card
ORD00204,15-06-2026,Neha Gupta,Furniture,Table,Jaipur,Rajasthan,5,13075,0,2353.5,Card
ORD00205,18-10-2025,Priya Gupta,Furniture,Bookshelf,Chandigarh,Chandigarh,2,24276,0.1,3520.02,Card
ORD00206,30-05-2026,Arjun Patel,Clothing,Jeans,Bengaluru,Karnataka,3,14010,0,3082.2,Wallet
ORD00207,12-12-2025,Shivam Sharma,Furniture,Table,Bengaluru,Karnataka,5,122065,0.1,17699.42,UPI
ORD00208,04-08-2025,Shivam Mehta,Electronics,Laptop,Bengaluru,Karnataka,5,89720,0.15,6953.3,Wallet
ORD00209,06-11-2025,Aditya Verma,Electronics,Printer,Bengaluru,Karnataka,5,97915,0.15,7588.41,Net Banking
ORD00210,27-03-2026,Nikhil Kaur,Clothing,Shoes,Noida,Uttar Pradesh,6,4740,0.02,1009.62,Net Banking
ORD00211,23-11-2025,Mohit Mehta,Furniture,Bookshelf,Pune,Maharashtra,2,22084,0.15,2815.71,Card
ORD00212,23-04-2026,Rohit Gupta,Clothing,Kurta,Mumbai,Maharashtra,1,2914,0.02,620.68,Net Banking
ORD00213,05-03-2026,Karan Singh,Furniture,Table,Noida,Uttar Pradesh,1,10309,0.08,1566.97,Cash
ORD00214,24-04-2026,Aditya Gupta,Clothing,Jeans,Kolkata,West Bengal,2,8762,0.1,1620.97,Net Banking
ORD00215,09-08-2025,Shivam Yadav,Electronics,Monitor,Jaipur,Rajasthan,5,152825,0.02,18797.47,UPI
ORD00216,27-04-2026,Vivek Jain,Electronics,Headphones,Kota,Rajasthan,5,292120,0.15,22639.3,UPI
ORD00217,17-02-2026,Mohit Sharma,Electronics,Tablet,Meerut,Uttar Pradesh,3,144831,0.05,16293.49,Net Banking
ORD00218,31-01-2026,Komal Kaur,Electronics,Mouse,Agra,Uttar Pradesh,5,97565,0,12683.45,Wallet
ORD00219,10-04-2025,Riya Yadav,Clothing,Hoodie,Pune,Maharashtra,6,7638,0.02,1626.89,Cash
ORD00220,28-05-2026,Amit Sharma,Clothing,Hoodie,Meerut,Uttar Pradesh,2,8940,0.08,1716.48,UPI
ORD00221,02-06-2025,Tanya Jain,Furniture,Filing Cabinet,Agra,Uttar Pradesh,4,71268,0.08,10832.74,Card
